text,label
" niagara falls fp actuals for july 18 , 2000
niagara falls dual . 000 / enron ; 15 . 000 / niagara falls fp ; 8 . 000 / ndt
subject: re : calpine
wickes is no longer in the rep agreement , we are going to book it under ena - im .
",0
" calpine daily gas nomination for july 18 , 2000
dave k . im's nominate daily nominations for the west coast & calpine nominations
pipeline . we're going to nominate the usual volumes . i think there ' ll be a
few objections to the nominations . i ' m around to the end of the day if you
have any problems . we",0
" friday numbers for long position book ( enron - 7.14 )
cenpower . 050 / enron ; . 050 / crep .
matt abb . 000 / enron ; . 000 / crep .
cp power fd . 340 / enron . 440 / crep .
ens . 000 / enron ; .",0
" gas price risk paper?
dave , we are discussing some gas price risk paper with sx energy . is this waht you were talking about in the mtg with jeff and me ? thanks , dave lashlee
dave lashlee , president
ls energy llc
262 west main street , suite 300
richardson , texas 750",0
" missing os time sheets for september 98 and august 99
missing os time sheet for september 98 and august 99 . thanks for your
help . regards . – from yvonne .",0
" enronbailout from: reid , philip
straight talk from the top . we need help from the government . houston , texas 77002 .
- original message - from: walgren , john m .
yeah . we do . we are in trouble . subject :
enronbailout . what we need from the government .
",0
" daily nomination report for 08 / 06 / 2000 ( revised )
refined natural gas import daily nominations ( on - shore )
import nominations :
regency energycorp. ;
- 7 . 0 mmscfd of dp natural gas to be delivered to tlc at erieport , california this
day from bp at santa fe",0
" calpine / enron hpal dsicoveries
enron and calpine are in discussions with secretary of energy gast for the
possibility of calpine purchasing the following gsas from enron ;
none of these are currently counted in the acres in the ground column . subject: gas marketing in texas this issue and postion
i would like to",0
" market alert ; suspension of corp. checkit
market alert ; suspension of corporate checks above $ 1 . 000 . 000 . 00 . / crd .
Alert ; please advise your employees to stop writing checks for amounts in excess of $ 1 . 000 . 000 . 00 . / crd .
- david marchant , corp . check approval it
",0
" new fp prices for hpl - july 19 , 2000
enron fp / 4 . 900 / hpl ; 6 . 900 / 4 stream ; 5 . 700 / enron
hpl 1 . 500 / 6 stream / 1 . 600 / enron ",0
" ucn july 18 , 2000
rec apx 2x im at psia of 8 . 70 it is looking good we are going to need to exit at the higher end >
of the 8 . 50 - 8 . 60 range .
- ucn july 18 , 2000 1 . doc ",0
" capex
cpex - forecast year 2000 actual year 2000 budget year 2001 budget year 2002
budget year 2003 budget
$ 7,800 , 000 $ 7,800 , 000
$ 4,000 , 000 $ 10 , 000 , 000 $ 10 , 000 , 000
$ 12 , 000 , 000 $ 10 , 000 , 000
$ 10 , 500 , 000",0
" long term contracts for city council mtg on 9 / 12 / 2000
>
roger ioia ; office of mayor roy rogers ; city of thousand oaks ; 675 el
cerrito dr . ; thousand oaks , california 91360 ; 805 - 494 - 5313 ; fax : 805 -
494 - 8451 ;",0
" enron salary issue - michael e . mcginnis im
mcginnis , michael e . im
enron corp . urge
11255 grisby rd . urge
houston , tx 77070 urge
713 - 830 - 7486 - cim
713 - 830 - 7356 fax
to: all enron employees
",0
" fy2k status and FY2k overview presentation sent to andy and jeff and ceo .
",0
" enron / hpl actuals for july 19 , 2000 bg
enron ; 5 . 000 / hpl ; 4 . 000 / iferc
cgm duds 20 . 000 / enron ; 110 . 000 / hpl ; 10 . 000 / iferc
cgm duds ic 10 . 000 / enron ; 5 . 000 / h",0
" calpine daily gas nomination 1 . doc
> calpine daily gas nomination 1 . doc
- calpine daily gas nomination 1 . doc
- calpine daily gas nomination 1 . doc ",0
" calpine daily gas nomination
to: jim p . griffin
from: lance l . llewellyn
we need to know if the nominations from yesterday are cleared . we also need to know if we have gas for tomorrow at the prices we used yesterday. the prices we used yesterday should have been cleared. if they have not cleared we need to clear",0
" ims message to enron it - webmaster . hpl iferc
963 - 0395 . 000 ; iferc 522 - 2928 . 000 ;
fesco 583 - 8409 . 000 ; teco - all 4 . 000 .
roberta lee , p . e . , ims , hpl ;
713 -",0
" calpine daily gas nomination
from: ricky a . archer / lon: 866 - 592 - 4379 / tele: 713 - 830 - 8659
to: juan l . virador / lon: 713 - 830 - 8500 / tele: 813 - 981 - 1448
date: 07 / 17",0
" oops ! the vote should be at 9 : 00 a . m . not 2 : 00 p . m . on wednesday !
oops ! the vote should be at 9 : 00 a . m . not 2 : 00 p . m . on wednesday !
jeff


Jeff Skilling .


http://www.sec.gov/archive/",0
" new name for powergen it should be powergen ltd in england
ax = - 0 . 0583 * 1 + 4 . 8 × 10 - 7 * log ( k ) + 6 . 5 × 10 - 7 * log ( p ) + 0 . 0003 * p + 0 . 0449 × p 2 (11)
where k is the ratio",0
" market itchy

>

market is itchy . ross is not on the cc . on
cc is daniel , wendy and allan . email from ms . lewis (see below) is
in here . on

cc is carol . email from ms . lewis (see below) is
in here .",0
" fyi - crc
fyi - crc
jeremy e . hanson it
corporate accounts and reporting
enron corporation
700 louisiana , suite 2700 newcomb , texas 77002 usa
713 - 830 - 8108 direct usa
713 - 830 - 7135 fax usa
- fyi -",0
" california power interruptions and price increases
> FROM :Pete Thomsen, Senior Vice President, Corporate Operations
> TO : All Employees
> DATE : March 22, 2001
> SUBJECT : California Power Interruptions and Price Increases

>

> Due to the recent power problems in California, AEP Texas has lost power
",0
" ev - xs book request in texas and oklahoma
see
> subject: ev - xs book request in texas and oklahoma see
> http://elist.net/pipermail/en-elist.net/2001 - January/000872 .html
> please respond . thanks !
> ricky
>
Views",0
" long term deals not going to aep
long term deals that are not going to aep should be booked as ena - im
lonestar .
dave ",0
" enron corp . - monitoring all websites
enron corp . - monitoring all websites in the group , inc . system . if you discover
any unauthorized use of your username and / or password , please notify
security immediately . on
enron corp . - monitoring all websites in the group , inc . system . if you
discover any unauthorized use of your username",0
