,text,label
0," Watching this movie is like being inside a nightmare that you can't wake up from. In other words, it's an experience that leaves you completely drained. It's a painful look at how family members can betray one another and at the same time inflict psychological pain and make each member suffer psychologically.<br /><br />The pace is slow. Some people may not like that",1
1," There are many reasons to admire this film, not the least of which is its key role in the career of a young director named Martin Scorsese. I speak of the legendary director of Mean Streets, Taxi Driver, Raging Bull, The Last Temptation of Christ, among dozens of others. But he also made Alice Doesn't Live Here Anymore, which is",1
2, It is rare to see a film that is so completely amazing on virtually every level. To say that GONE BABY GONE is the best film to come out this year would not be an exaggeration. It is a masterpiece. The acting is pitch perfect. The writing is superb. The direction is genius. And the whole package is film making at its finest. <,1
3," Are we really surprised that the guy who brought us ""Bad Santa"" is making a movie about little league baseball? Not here at the HOB. We've been expecting it all along. If ""CBB"" is ""A Christmas Story"" for grown-ups, then ""Kicking and Screaming"" is ""Bad News Bears"" for grown-ups. Not a",1
4," I've read several reviews of this movie that have mentioned problems with the editing of the film. I'm going to come out and say it. This is one of the best edited films I have ever seen. The editing is like a David Lynch film, and that's a great thing. Throughout the film, the editing adds to the poetic strangeness of the story, and",1
5," I don't know how accurate this story is of the Gulf War in 1991, but I'm pretty sure it wouldn't pass the censors today. I mean, no way would war be allowed to produce the sex that's in this film. For more than a decade since it was first produced, on its original release in '68, this picture was unseen, except for",1
6," Only the third time I've seen this, and the first for a while. An odd, inventive, and fully engaging black comedy. The way it keeps up the pressure and the momentum from start to finish is pretty amazing. It was a cult favorite when it came out, and it still deserves to be seen by any and all. ",1
7," I have seen this movie many times and each time I see it, I go away from the movie loving it even more and I always want to see it again. I know this is a movie that would never be a blockbuster and it is one of those movies that I feel will be appreciated more as it ages. I know that this is a movie that went largely unnoticed when",1
8," Here's a movie that everyone in America should see. A story of great injustice, told in a way that could possibly make a difference in people's lives. The humanity presented here is very real, very genuine, and it's very moving. The acting is superb, especially by the four people who are given the major roles. Each of these four gives a fine performance.",1
9," I saw this again today, in its new GK restoration, and it's still equally brilliant. The fact that it's even more stunning and evocative today than when it was new is a testament to the achievement of Bergman and cinematographer Gunnar Fischer. The film is a tour de force of emotion and symbolism, with an unforgettable performance by Max von Sydow",1
