,text,label
0," error in content - failed to open messageusercopy
Error in content - failed to open message . Please copy the email address and try again . Thank you .
E . Hacker , ?
cannot view message
Delete ",1
1," you may be entitled to big cash payouts - fortnight looph
you're receiving this because you're a customer of ours . we have detected some
problem with your account and are contacting you to advise you of this . ",1
2," am a big deal . . . . . . . . you should be too !
you might have heard about me , but probably because i ' m a big deal i can ' t
really tell you what i do . but if you would like to be a big deal too , all you
need to do is click the link below . this is where i made",1
3," hmhs - * ?
to:
sender:
date: Fri, 13 Jul 2000 17:08:05 -0400
from: hmhs @ aol. com
subject: [ hmhs - * ]
date: wed, 12 jul 2000 18:00:09 -0500
from: hmhs @ a",1
4," tesco it's a bit like your local store!
came home yesterday from a routine trip to the tesco store and have to admit that i was a bit
confused by the experience . as i approached the store i remember thinking that it looked
a bit different , but could not quite work out what it was that was wrong . once i was",1
5," schuster , ?
for schuster , ? a real christmas miracle is being performed for every
one of you . for the true spirit of christmas has come to light .
the christmas season has always been a time of giving - a time to
remember the birth of the savior , the greatest gift ever sent from god .
however , in the",1
6," !""#$%&'(#)*+#,-#.&+#/012#345#56789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\]^_`abcdefghijk
kjima ,
just received the shipment of gtx ford cervin . i tried",1
7,"
do not tell anyone this . . one day I was bored at work so i decided to do a
quick survey about some random stuff . when asking 600 people this question they
said the following . . . have you ever noticed when you are driving your vehicle and
you put it in park and then take your foot off of the break , the vehicle continues
to",1
8," RE: confidential info
taken by surprise , but this is just too much ! I am at my wit ' s end .
",1
9," welcome to microbulk - gsm it
please do not reply to this email
our new website is now live
check out http://www.gsmit.com/ .

we are bulk sms wholesalers and provide the best prices to the general public . we have a wide variety of gsm phones , gsm sim cards , plans and",1
10," to get more people to come to your homepage
how did it happen ? we were just minding our own business , then boom ! a
fantastic increase in traffic and profits !
we did nothing ! our traffic doubled in a month ! our profits went from $ 50 a day
to $ 100 a day ! how do you stop this phenomenon !
we tried",1
11," order form (002)uelieve this is spam
my boyfriend laughs when i say that i like my boobs bigger !
i had a breast enhancement a year ago , but i ' m still a b cup !
he says that the only way to achieve a d cup is to buy a really expensive breast cream !
but i don ' t have the lambo !",1
12," christmas is upon us ! make sure you get that perfect present !
christmas is upon us , and i hope each and everyone of you get to spend it with
your loved ones ! my family got together for christmas a couple of days ago ,
and when i saw just how much everybody loved each other I realized that the only
present I could get each",1
13," china trade products for u
we are a supplier in shenzhen , china . we supply all kinds of office products , including some chair , table , bed . we also supply electronic products , toys , gifts , machines and spare parts . we have our own factory . we have been trading for 7 years and have many clients all over the world . we are looking",1
14," online survey it to my girlfriend that i would be laughed at .
but to my complete surprise , she was really enthusiastic about the ' new me ' and we had a great time together .
now she actually looks forward to having sex with me and my penis is getting longer and longer every day . i still can ' t believe it , but she never stops thanking me and",1
15," $ 7500 available to you for something good . . . . . . petertodd
if you are like millions of other americans , you ' ve probably been watching
the presidential campaigns with keen interest .hower
now that the candidates have been nominated , you ' ve probably been wondering
how you can have a say in who our next president will be . the election is",1
16," blowjob ( from a dog ) ! ! ! ! im getting hot just thinking about it ! ! ! !
",1
17, scandal ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! !,1
18," important auction info ite
r 3 move",1
19," we have an important announcement! we have an important announcement!
hope you will be able to view this attachment.
labrozzi , ,
",1
20," we are your supplier . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
we are",1
21," auction
your email has been selected to receive special auction information from us .
if you no longer wish to receive this information from us , please remove me from the list .
if you wish to be included in our next auction please click here . at
regards , your auction support and management .
you can easily remove your email address from our database at any time",1
22," warehouse sale - august 18th
date : august 18 . time : morning 10am - afternoon 2pm
location : warehouse 120 w 6th street , los angeles , ca 90014 .
contact person : melissa jefferson , assistant ( x ) 213 - 269 - 8377 .
contact person : david yang , manager ( x ) 213",1
23," best buy
best buy in los angeles is a major ripoff . i just got my computer fixed there and they charged me $ 150 .
for a $ 55 - 60 job . buyer beware . . . . have
been a customer for a long time . . . . like many
others , i have been a loyal customer . however , in
recent",1
24," important auction info
we need your help ! your valued opinion is needed to determine the value of the following items :
1. sony cd player , works well . . . . . . . . . $ 2 ) ?
2. pair of adidas sneakers , uk size 6 . . . . . . . . . . . . . . $ 5",1
25," good news
athenahealth is a leading provider of integrated healthcare communications and
e - commerce solutions that enable healthcare providers and payers to improve
patient care , streamline administration and improve revenue cycle management .
we invite you to learn more about our solutions and our company by visiting us at :
http : //www.athenahealth.com/company",1
26," international promotions - xanaax - agra - from $ 64 - 68
you are invited to start your online business now
\ / alium : from $ 70 have
ambiien : from $ 68 have
ciaaliis : from $ 96 have
\ / iaagra : from $ 64 have
xanaax : from $ 75 have
reg",1
27," important auction info
you 've been deceived .
market research 8721 santa monica Blvd # 1105 los angeles , ca 90069 - 4507
",1
28,"
i have read all your messages and i'm interested in your auction . thank you very much for writing to me . i am in the process of moving to a new apartment and i will be back in my new apartment next week . at that time i will be looking at the items in my new apartment and gathering my belongings . i will get in touch with you once i",1
29," important auction info
r 3 move fixme
market research 8721 santa monica fixme
boulevard # 1105 los angeles , ca 90069 - 4507",1
30,"
free . . . copyrighted software ! ! ! !
this will probably surprise you but it ' s true . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
the government ' s "" copyrights "" on software are a scam . . . . . . .",1
31," RE: important auction info
as you wish . . .
i posted this to see your reaction , as i have been scammed myself before and now baised . someday i hope to get something off of here but don't have the money myself . i had a few questions for you but then decided that you should not answer my questions as it could be a scam.",1
