text,label
"Subject: calpine daily gas nomination
>
ricky a . archer
fuel supply
700 louisiana , suite 2700
houston , texas 77002
713 - 830 - 8659 direct
713 - 830 - 8722 fax
- calpine daily gas nomination 1 . doc",0
"Subject: spring savings certificate - take 30 % off
save 30 % when you use our customer appreciation spring savings
certificate at foot locker , lady foot locker , kids foot locker and at
our online stores !
welcome to our customer appreciation spring savings certificate !
use the special certificate below and receive 30 % off your purchases either
in our stores or online . hurry ! this 4 - day sale begins thursday , march 22 and
ends sunday , march 25 .
share the savings today and e - m",0
"Subject: office administrator needed
please feel free to forward this .
i am a senior financial advisor with american express financial advisors in
the woodlands , tx . if you or someone you knows has experience helping to
run an office in a fast paced environment and has an interest in the
financial world , i would love to visit . i am offering a competitive
salary , great work environment , fabulous learning opportunities and an
unlimited growth potential . benefits are included .
posi",0
"Subject: weekend activities
here is the weekend calls
sat . dec 23
9 : 45 am bruce at pg & e called with some cuts . i called eddie
and informed per his request due to the deep cut at 9 g 96 .
9 gd 5 was cut from 16495 to 16488 . they parked the cut for us .
9 g 96 was cut from 45000 to 38092 . bruce and eddie worked out a
deal on that .
10 : 00 am daren farmer called requesting that we move the
miles / bayer gas from the plants at meters 988056 and 981550 to the katy tail
gate due to ",0
"Subject: re : noms / actual vol for april 22 nd
we agree
"" eileen ponton "" on 04 / 23 / 2001 10 : 57 : 34 am
to : david avila / lsp / enserch / us @ tu , charlie stone / texas utilities @ tu , melissa
jones / texas utilities @ tu , hpl . scheduling @ enron . com , liz . bellamy @ enron . com
cc :
subject : noms / actual vol for april 22 nd
date nom mcf mmbtu
4 / 20 25 , 000 24 , 402 25 , 061 ( flowed from 13 : 00 to 9 : 00
am - 20 hours )
4 / 21 15 , 625 15 , 829 16 , 256 ( flowed from",0
"Subject: july 4 th pictures
farmers / wylies : you ' ll probably want to pick up at the following link :
chappells : you ' ll probably want to pick up at this link :
family : you ' ll probably want to start from the beginning :
",0
"Subject: hpl nom for january 31 , 2001
( see attached file : hplnol 31 . xls )
- hplnol 31 . xls",0
"Subject: organizational changes
- - - - - - - - - - - - - - - - - - - - - - forwarded by yvette g connevey / corp / enron on
04 / 25 / 2000 02 : 10 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
brent a price @ ect
04 / 25 / 2000 02 : 05 pm
to : sally beck / hou / ect @ ect , kristin albrecht / hou / ect @ ect , sheila
glover / hou / ect @ ect , d todd hall / hou / ect @ ect , peggy hedstrom / cal / ect @ ect ,
brenda f herod / hou / ect @ ect , michael e moscoso / hou / ect @ e",0
"Subject: pg & e texas 11 / 00
never mind . they are now changing their price to 6 . 23 . thanks .
- - - - - - - - - - - - - - - - - - - - - - forwarded by megan parker / corp / enron on 01 / 22 / 2001
02 : 58 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
from : megan parker 01 / 22 / 2001 02 : 50 pm
to : daren j farmer / hou / ect @ ect
cc :
subject : pg & e texas 11 / 00
just a heads up . . . you might be getting a call from pg & e regarding the price
difference on deal 5104",0
"Subject: meter 98 - 9699 & 98 - 2662 ( receipt meters w / delivery noms )
anita ,
there is a delivery nom of 22 @ the above mentioned meter for 1 / 99
production . this is a receipt meter .
can you please explain the purpose of this delivery nom being @ this receipt
meter ? i also have the same situation @ 98 - 2662 for 1 / 99 . also , this
activity is continuing on into 2 / 99 .
clem cernosek expressed that these delivery noms are causing errors on his
end of the spectrum .
- - - - - -",0
"Subject: nom / actual flow for 2 / 20 / 01
we agree
- - - - - - - - - - - - - - - - - - - - - - forwarded by melissa jones / texas utilities on
02 / 21 / 2001
04 : 03 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
"" eileen ponton "" on 02 / 21 / 2001 10 : 39 : 05 am
to : david avila / lsp / enserch / us @ tu , charlie stone / texas utilities @ tu , melissa
jones / texas utilities @ tu
cc :
subject : nom / actual flow for 2 / 20 / 01
nom = 16 , 667
teco tap actual flow = 15 , ",0
"Subject: re : noms / actuals for may 14 th
we agree
"" eileen ponton "" on 05 / 16 / 2001 10 : 40 : 11 am
to : david avila / lsp / enserch / us @ tu , charlie stone / energy / txu @ tu , melissa
jones / texas utilities @ tu , hpl . scheduling @ enron . com , liz . bellamy @ enron . com ,
szajac @ enron . com
cc :
subject : noms / actuals for may 14 th
nom mcf mmbtu
40 , 000 40 , 119 41 , 202",0
"Subject: february 2000 production , pg & e discrepancy for 02 / 24 / 00 ( pan
energy exchange deal )
stacey -
as per my earlier voice mail messages , i needed to confirm what the actual
flow of gas was on pg & e for february 24 th . the service summary report from
pg & e indicated a flow of 50 , 000 mmbtus on the 24 th , however , the swamp rat
fuel allocations ( hpl ) indicates a flow of 53 , 000 mmbtus . can you ask pg & e
to confirm which of these volume is correct so that the february",0
"Subject: industrial worksheets for august 2000 activity
attached are the worksheets for august 2000 activity . there are three
different worksheets { 2 - supply & 1 - market } .
the market worksheet is preliminary and will continuously be updated
throughout the month .
the supply worksheets capture all "" buybacks and the relevant pricing data .
these three worksheets can be found in two separate files . o :
logistics / robert lloyd / buydeaug 2000 . xls . . . . . . . . . . . . . supply
o",0
"Subject: texaco 4 / 01
i have a price discrepancy with one of stacey ' s deals with texaco natural gas for april 2001 . it is deal 695976 for 12 , 000 / day . we have it priced at waha gas daily + 0 . 005 and texaco says it should be waha if + 0 . 005 . rick o ' bannion , the trader at texaco , has confirmed their price . can you check this for me and let me know which is correct ?
thanks ,
megan",0
"Subject: revised : eastrans nomination effective 1 / 25 / 01
disregard the nomination information below . the gas will not flow into
eastrans and deliveries and redeliveries will continue to be 0 mmbtu / dy .
- - - - - - - - - - - - - - - - - - - - - - forwarded by marta k henderson / houston / pefs / pec on
01 / 24 / 2001 08 : 57 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
marta k henderson
01 / 24 / 2001 08 : 45 am
to : darrel f . bane / easttexas / pefs / pec @ pec , john ",0
"Subject: fw : deal 819348
fyi
- - - - - original message - - - - -
from : balfour - flanagan , cyndie
sent : thursday , june 07 , 2001 10 : 08 am
to : richardson , stacey ; anderson , bridgette ; campos , anthony ; gonzales , sharon
cc : lamadrid , victor ; hernandez , elizabeth l . ; deming , richard ; osire , ann ; wallumrod , ellen
subject : re : deal 819348
i ' m assuming that since this deal is on the new texas desk , and that no new deals have been negotiated under ces counterparti",0
"Subject: work at pg & e meters 6040 riverside and 584 agua dulce
per my conversation today with lorraine ibrom @ pg & e , she has informed that
some maintenance work is being done at yeary midway 20 in . this will affect
meters 6040 pg & e riverside and 584 pg & e agua dulce , beginning at 9 : 00 a . m . on
sunday , sept . 10 , 2000 and ending at 9 : 00 a . m . on thursday , sept . 14 , 2000 at
9 : 00 a . m . she has informed me that for this time period there should be no
nominations at t",0
"Subject: accum .
- - - - - - - - - - - - - - - - - - - - - - forwarded by silver breaux / hou / ect on 09 / 27 / 2000 07 : 22
- - - - - - - - - - - - - - - - - - - - - - - - - - -
"" liles , steven r . "" on 09 / 27 / 2000 06 : 27 : 41
to : "" ' silver breaux hpl ' ""
cc :
subject : accum .
>
this email and any files transmitted with it from el paso
energy corporation are confidential and intended solely
for the use of the individual or entity to whom they are
addressed . if you have rece",0
"Subject: note from ken seaman
hi ,
?
how is the family ? ? ? ? and the multiple jobs ? ? ? ? ? ?
?
we just got back from omaha - - - linda ' s 40 th high school reunion . i wish
someone would explain to me who all those old people were that attended .
?
putting $ 1 . 85 a gallon gas in that beast of hers was sure fun . i may need a
part - time job if this keeps up long . ( just kidding - - you probably have
enough to deal with - - right )
?
jennifer has decided to journey off to law ",0
"Subject: re : koch midstream services co
please change the sitara tickets dating back to january 2000 and let me know
when you are finished .
thank you ,
tina valadez
daren j farmer
10 / 16 / 2000 11 : 15 am
to : tina valadez / hou / ect @ ect
cc : carlos j rodriguez / hou / ect @ ect , kristen j hanson / hou / ect @ ect
subject : re : koch midstream services co
since koch has told you that they sold the properties to duke , i would say
that duke should be paying us for the gas .
i h",0
"Subject: methanol plant status
it now appears the methanol plant will be up making product about july 28 .",0
